id,user_id,short_code,original_url,title,is_active,created_at,updated_at
1,1,trXjXP,https://opswise.net/amber/delta/1,Launch deck trail,True,2025-08-13 02:22:32,2025-11-22 20:02:14
2,288,4LuIGF,https://opswise.net/cobalt/river/2,Service guide delta,False,2025-12-05 08:05:57,2026-01-27 21:17:02
3,56,Bz8PMF,https://relay.cloud/brisk/uplink/3,Alert feed valley,False,2025-08-06 19:38:00,2025-12-18 18:12:33
4,382,ccfkxf,https://seeded.app/mellow/delta/4,Service guide river,True,2025-01-17 00:50:41,2025-11-09 11:14:02
5,240,HGbJFv,https://acme.dev/proud/kernel/5,Quarterly brief quartz,True,2025-05-18 15:30:32,2025-08-11 01:10:11
6,176,Sax94G,https://example.com/jade/anchor/6,Service guide window,False,2025-05-05 18:19:03,2025-12-04 03:34:50
7,90,lKwR4U,https://example.com/clear/lagoon/7,Ops review field,True,2025-10-09 21:23:07,2026-01-25 06:43:44
8,329,pjiCs7,https://opswise.net/proud/beacon/8,Alert feed meadow,False,2025-01-01 22:06:39,2025-09-04 23:19:38
9,265,kUUmef,https://relay.cloud/clear/orbit/9,Launch deck beacon,True,2025-08-17 10:18:03,2026-02-15 01:32:47
10,214,2G9Be0,https://acme.dev/calm/meadow/10,Quarterly brief garden,True,2025-02-22 19:19:45,2025-04-05 14:21:52
11,391,jDlA27,https://relay.cloud/lively/signal/11,Incident notes valley,True,2025-02-19 20:04:54,2025-03-13 20:12:48
12,295,8HpxwB,https://seeded.app/clear/field/12,Status board meadow,True,2025-06-15 22:40:06,2026-01-01 06:04:35
13,254,8x3m08,https://relay.cloud/gold/delta/13,Service guide orbit,False,2025-01-30 10:40:25,2025-07-31 17:26:49
14,233,7YBIw4,https://hackstack.io/keen/meadow/14,Quarterly brief kernel,True,2025-01-07 23:12:02,2025-10-09 05:19:53
15,57,Xw086A,https://relay.cloud/vivid/journey/15,Incident notes journey,True,2025-05-05 05:43:45,2025-05-11 01:00:51
16,125,FNf8ht,https://example.com/harbor/pioneer/16,Ops review uplink,False,2025-11-12 12:57:13,2025-11-16 14:10:53
